Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1721865600;25.07.2024 03:00;104,5
1721869200;25.07.2024 04:00;100,2
1721872800;25.07.2024 05:00;101,7
1721876400;25.07.2024 06:00;107,12
1721880000;25.07.2024 07:00;160,18
1721883600;25.07.2024 08:00;230,58
1721887200;25.07.2024 09:00;144,17
1721890800;25.07.2024 10:00;110,49
1721894400;25.07.2024 11:00;55,08
1721898000;25.07.2024 12:00;55,13
1721901600;25.07.2024 13:00;54,59
1721905200;25.07.2024 14:00;78,67
1721908800;25.07.2024 15:00;81,85
1721912400;25.07.2024 16:00;88,08
1721916000;25.07.2024 17:00;106,28
1721919600;25.07.2024 18:00;133,24
1721923200;25.07.2024 19:00;150,01
1721926800;25.07.2024 20:00;150,08
1721930400;25.07.2024 21:00;150,07
1721934000;25.07.2024 22:00;140,1
1721937600;25.07.2024 23:00;179,57
1721941200;26.07.2024 00:00;137,38
1721944800;26.07.2024 01:00;181,88
1721948400;26.07.2024 02:00;73,92
1721952000;26.07.2024 03:00;79,3
1721955600;26.07.2024 04:00;83,61
1721959200;26.07.2024 05:00;81,4
1721962800;26.07.2024 06:00;97,8
1721966400;26.07.2024 07:00;131,32
1721970000;26.07.2024 08:00;119,96
1721973600;26.07.2024 09:00;104,11
1721977200;26.07.2024 10:00;96,83
1721980800;26.07.2024 11:00;90,7
1721984400;26.07.2024 12:00;81,26
1721988000;26.07.2024 13:00;70,06
1721991600;26.07.2024 14:00;63,26
1721995200;26.07.2024 15:00;59,84
1721998800;26.07.2024 16:00;68,05
1722002400;26.07.2024 17:00;72,97
1722006000;26.07.2024 18:00;115,74
1722009600;26.07.2024 19:00;105,97
1722013200;26.07.2024 20:00;157,4
1722016800;26.07.2024 21:00;187,82
1722020400;26.07.2024 22:00;140,08
1722024000;26.07.2024 23:00;113,81
1722027600;27.07.2024 00:00;91,07
1722031200;27.07.2024 01:00;250,07
1722034800;27.07.2024 02:00;104,51
1722038400;27.07.2024 03:00;99,48
1722042000;27.07.2024 04:00;96,43
1722045600;27.07.2024 05:00;95,89
1722049200;27.07.2024 06:00;92,37
1722052800;27.07.2024 07:00;87,98
1722056400;27.07.2024 08:00;83,37
1722060000;27.07.2024 09:00;85,15
1722063600;27.07.2024 10:00;67,38
1722067200;27.07.2024 11:00;60,92
1722070800;27.07.2024 12:00;39,9
1722074400;27.07.2024 13:00;68,06
1722078000;27.07.2024 14:00;74
1722081600;27.07.2024 15:00;43,06
1722085200;27.07.2024 16:00;35,44
1722088800;27.07.2024 17:00;71,33
1722092400;27.07.2024 18:00;130,72
1722096000;27.07.2024 19:00;114,32
1722099600;27.07.2024 20:00;136,64
1722103200;27.07.2024 21:00;146,75
1722106800;27.07.2024 22:00;139,5
1722110400;27.07.2024 23:00;116,57
1722114000;28.07.2024 00:00;128,26
1722117600;28.07.2024 01:00;113,54
1722121200;28.07.2024 02:00;101,91
1722124800;28.07.2024 03:00;87,22
1722128400;28.07.2024 04:00;72,48
1722132000;28.07.2024 05:00;72,33
1722135600;28.07.2024 06:00;78,4
1722139200;28.07.2024 07:00;69,34
1722142800;28.07.2024 08:00;73,16
1722146400;28.07.2024 09:00;26,59
1722150000;28.07.2024 10:00;50
1722153600;28.07.2024 11:00;64,88
1722157200;28.07.2024 12:00;55,64
1722160800;28.07.2024 13:00;55,63
1722164400;28.07.2024 14:00;15,42
1722168000;28.07.2024 15:00;46,4
1722171600;28.07.2024 16:00;40,6
1722175200;28.07.2024 17:00;27,3
1722178800;28.07.2024 18:00;30,57
1722182400;28.07.2024 19:00;31,76
1722186000;28.07.2024 20:00;83,08
1722189600;28.07.2024 21:00;103,68
1722193200;28.07.2024 22:00;105,67
1722196800;28.07.2024 23:00;100,05
1722200400;29.07.2024 00:00;50,01
1722204000;29.07.2024 01:00;4,09
1722207600;29.07.2024 02:00;4,1
1722211200;29.07.2024 03:00;4,1
1722214800;29.07.2024 04:00;4,09
1722218400;29.07.2024 05:00;4,1
1722222000;29.07.2024 06:00;50
1722225600;29.07.2024 07:00;110,06
1722229200;29.07.2024 08:00;115,34
1722232800;29.07.2024 09:00;94,05
1722236400;29.07.2024 10:00;57,47
1722240000;29.07.2024 11:00;20,27
1722243600;29.07.2024 12:00;10,01
1722247200;29.07.2024 13:00;31,69
1722250800;29.07.2024 14:00;88,11
1722254400;29.07.2024 15:00;27,36
1722258000;29.07.2024 16:00;4,1
1722261600;29.07.2024 17:00;12,89
1722265200;29.07.2024 18:00;60,19
1722268800;29.07.2024 19:00;91,42
1722272400;29.07.2024 20:00;120,07
1722276000;29.07.2024 21:00;154,84
