Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1706018400;23.01.2024 16:00;67,08
1706022000;23.01.2024 17:00;91,89
1706025600;23.01.2024 18:00;68,46
1706029200;23.01.2024 19:00;66,78
1706032800;23.01.2024 20:00;63,34
1706036400;23.01.2024 21:00;60,46
1706040000;23.01.2024 22:00;52,45
1706043600;23.01.2024 23:00;40,82
1706047200;24.01.2024 00:00;33,26
1706050800;24.01.2024 01:00;42,02
1706054400;24.01.2024 02:00;39,76
1706058000;24.01.2024 03:00;50,01
1706061600;24.01.2024 04:00;48,92
1706065200;24.01.2024 05:00;55,6
1706068800;24.01.2024 06:00;80,05
1706072400;24.01.2024 07:00;92,38
1706076000;24.01.2024 08:00;94,27
1706079600;24.01.2024 09:00;92,23
1706083200;24.01.2024 10:00;94,26
1706086800;24.01.2024 11:00;93,04
1706090400;24.01.2024 12:00;92,73
1706094000;24.01.2024 13:00;94,24
1706097600;24.01.2024 14:00;92,11
1706101200;24.01.2024 15:00;81,39
1706104800;24.01.2024 16:00;88,74
1706108400;24.01.2024 17:00;92,47
1706112000;24.01.2024 18:00;91,71
1706115600;24.01.2024 19:00;86,93
1706119200;24.01.2024 20:00;79,84
1706122800;24.01.2024 21:00;73,08
1706126400;24.01.2024 22:00;66,5
1706130000;24.01.2024 23:00;44,84
1706133600;25.01.2024 00:00;38,53
1706137200;25.01.2024 01:00;43,84
1706140800;25.01.2024 02:00;43,97
1706144400;25.01.2024 03:00;42,76
1706148000;25.01.2024 04:00;43,85
1706151600;25.01.2024 05:00;45,11
1706155200;25.01.2024 06:00;51,01
1706158800;25.01.2024 07:00;74,34
1706162400;25.01.2024 08:00;75,28
1706166000;25.01.2024 09:00;90,01
1706169600;25.01.2024 10:00;86,82
1706173200;25.01.2024 11:00;83,69
1706176800;25.01.2024 12:00;78,66
1706180400;25.01.2024 13:00;85,45
1706184000;25.01.2024 14:00;82,78
1706187600;25.01.2024 15:00;85,66
1706191200;25.01.2024 16:00;92,07
1706194800;25.01.2024 17:00;101,38
1706198400;25.01.2024 18:00;122,35
1706202000;25.01.2024 19:00;114,3
1706205600;25.01.2024 20:00;98,79
1706209200;25.01.2024 21:00;91,07
1706212800;25.01.2024 22:00;88,11
1706216400;25.01.2024 23:00;80,02
1706220000;26.01.2024 00:00;75,16
1706223600;26.01.2024 01:00;79,99
1706227200;26.01.2024 02:00;79,29
1706230800;26.01.2024 03:00;79,04
1706234400;26.01.2024 04:00;79,98
1706238000;26.01.2024 05:00;94,37
